apple_label,predicted_volume
1a.jpg,114.26
1b.jpg,138.47
3a.jpg,167.87
3b.jpg,177.48
3c.jpg,164.24
3d.jpg,198.25
3e.jpg,174.12
3f.jpg,165.97
3g.jpg,179.5
3h.jpg,206.36
3i.jpg,201.57
4a.jpg,280.51
4b.jpg,297.83
4c.jpg,292.14
4d.jpg,285.65
4e.jpg,268.72
4f.jpg,278.31
5a.jpg,289.49
5b.jpg,297.64
5c.jpg,303.91
5d.jpg,299.72
5e.jpg,303.22
5f.jpg,276.36
5g.jpg,285.04
5h.jpg,265.0
5i.jpg,291.64
6a.jpg,418.39
6b.jpg,418.81
6c.jpg,467.11
6d.jpg,461.64
6e.jpg,445.67
6f.jpg,435.81
6g.jpg,420.74
6h.jpg,469.79
7a.jpg,386.1
7b.jpg,380.09
7c.jpg,404.07
7d.jpg,395.32
7e.jpg,406.62
7f.jpg,365.65
7g.jpg,403.51
7h.jpg,401.9
7i.jpg,370.23
8a.jpg,177.67
8b.jpg,224.14
8c.jpg,224.92
8d.jpg,210.01
8e.jpg,209.92
8f.jpg,221.01
8g.jpg,221.81
8h.jpg,227.72
8i.jpg,198.35
8j.jpg,223.47
9a.jpg,353.17
9b.jpg,325.27
9c.jpg,329.76
9d.jpg,339.05
9e.jpg,337.36
9g.jpg,335.77
9h.jpg,275.05
9i.jpg,287.99
10a.jpg,325.56
10b.jpg,293.11
10c.jpg,309.71
10d.jpg,329.83
10e.jpg,321.79
10f.jpg,295.61
10g.jpg,310.6
10h.jpg,332.95
10i.jpg,321.36
11a.jpg,428.52
11b.jpg,461.08
11c.jpg,459.34
11d.jpg,429.69
11e.jpg,404.43
11f.jpg,410.33
11g.jpg,372.61
11h.jpg,403.67
12a.jpg,193.72
12b.jpg,192.92
12c.jpg,208.9
12d.jpg,215.89
12e.jpg,209.02
12f.jpg,206.32
12g.jpg,209.85
12h.jpg,189.22
12i.jpg,198.49
13a.jpg,267.27
13b.jpg,285.64
13c.jpg,277.32
13d.jpg,261.78
13e.jpg,260.11
13f.jpg,272.87
13g.jpg,265.77
13h.jpg,245.77
13i.jpg,216.04
14a.jpg,187.02
14b.jpg,182.11
14c.jpg,184.04
14d.jpg,190.28
14e.jpg,184.21
14f.jpg,194.76
14g.jpg,192.34
14h.jpg,183.88
14i.jpg,185.82
15a.jpg,435.35
15b.jpg,424.79
15c.jpg,420.64
15d.jpg,439.71
15e.jpg,436.04
15f.jpg,441.0
15g.jpg,387.47
15h.jpg,404.09
16a.jpg,250.96
16b.jpg,255.11
16c.jpg,248.29
16d.jpg,248.55
16e.jpg,276.72
16f.jpg,262.21
16g.jpg,247.45
16h.jpg,253.56
16i.jpg,256.18
16j.jpg,259.11
16k.jpg,283.24
16l.jpg,240.23
17a.jpg,323.54
17b.jpg,328.25
17c.jpg,332.51
17d.jpg,324.49
17e.jpg,309.09
17f.jpg,299.63
17g.jpg,315.02
17h.jpg,315.22
17i.jpg,290.69
17j.jpg,253.51
18a.jpg,230.49
18b.jpg,231.39
18c.jpg,236.96
18d.jpg,259.71
18e.jpg,248.49
18f.jpg,241.57
18g.jpg,232.49
18h.jpg,251.25
18i.jpg,241.03
18j.jpg,218.37
19a.jpg,265.93
19b.jpg,261.15
19c.jpg,271.25
19d.jpg,275.29
19e.jpg,269.88
19f.jpg,269.9
19g.jpg,269.49
19h.jpg,258.32
19i.jpg,254.46
19j.jpg,271.83
20a.jpg,228.98
20b.jpg,229.86
20c.jpg,224.74
20d.jpg,229.93
20e.jpg,235.3
20f.jpg,224.53
20g.jpg,210.9
20h.jpg,204.72
20i.jpg,191.48
20j.jpg,193.49
20k.jpg,201.89
21a.jpg,307.65
21b.jpg,333.68
21c.jpg,311.82
21d.jpg,325.97
21e.jpg,305.88
21f.jpg,304.53
21g.jpg,322.58
21h.jpg,305.62
21i.jpg,314.78
21j.jpg,328.26
21k.jpg,310.27
21l.jpg,336.71
21m.jpg,306.87
21n.jpg,285.98
21o.jpg,337.84
21p.jpg,333.49
21q.jpg,305.71
21r.jpg,339.96
21s.jpg,342.09
21t.jpg,311.53
21u.jpg,339.01
22a.jpg,177.69
22b.jpg,194.35
22c.jpg,176.18
22d.jpg,197.36
22e.jpg,202.76
22f.jpg,191.5
22g.jpg,184.21
22h.jpg,188.65
22i.jpg,187.6
22j.jpg,184.09
22k.jpg,182.2
23a.jpg,257.35
23b.jpg,271.33
23c.jpg,274.09
