true_volume,scaled_predicted_volume,absolute_error,percentage_error
120.0,111.49,8.51,7.09
140.0,142.29,2.29,1.63
120.0,127.37,7.37,6.14
170.0,136.78,33.22,19.54
145.0,171.72,26.72,18.43
140.0,132.48,7.52,5.37
145.0,152.6,7.6,5.24
180.0,182.12,2.12,1.18
140.0,137.61,2.39,1.71
125.0,136.08,11.08,8.86
160.0,156.93,3.07,1.92
200.0,197.32,2.68,1.34
150.0,147.7,2.3,1.53
140.0,118.5,21.5,15.36
150.0,138.4,11.6,7.73
140.0,132.56,7.44,5.32
150.0,147.89,2.11,1.41
140.0,143.95,3.95,2.82
150.0,147.56,2.44,1.63
130.0,125.72,4.28,3.29
130.0,153.09,23.09,17.76
